rank	candidate	layer	stage	candidate_full_shape	reference_full_shape	candidate_dtype	reference_dtype	exact	different_elements	elements	reference_norm	difference_norm	zero_reference_status	rel_l2	max_abs	candidate_nonfinite	reference_nonfinite
0	diagnostic-B2	10	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4589	5120	35.719173431396484	0.5709219574928284	not_zero	0.01598362735322981	0.033935546875	0	0
0	diagnostic-B2	10	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4485	5120	1.893085241317749	0.02678721956908703	not_zero	0.01415003349264972	0.0018157958984375	0	0
0	diagnostic-B2	10	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4485	5120	1.893085241317749	0.02678721956908703	not_zero	0.01415003349264972	0.0018157958984375	0	0
0	diagnostic-B2	10	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4383	5120	39.43046569824219	0.5850330591201782	not_zero	0.014837082158688758	0.03125	0	0
0	diagnostic-B2	10	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4571	5120	35.68378829956055	0.5416353344917297	not_zero	0.015178750920299572	0.03125	0	0
0	diagnostic-B2	10	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4522	5120	15.940790176391602	0.2262434959411621	not_zero	0.0141927403496114	0.0142822265625	0	0
0	diagnostic-B2	10	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4522	5120	15.940790176391602	0.2262434959411621	not_zero	0.0141927403496114	0.0142822265625	0	0
0	diagnostic-B2	10	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4664	5120	9.366169929504395	0.20701071619987488	not_zero	0.022101960327216563	0.01171875	0	0
0	diagnostic-B2	11	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4664	5120	9.366169929504395	0.20701071619987488	not_zero	0.022101960327216563	0.01171875	0	0
0	diagnostic-B2	11	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4554	5120	37.18736267089844	0.593153715133667	not_zero	0.01595041090660212	0.03125	0	0
0	diagnostic-B2	11	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4492	5120	1.9248926639556885	0.02880352921783924	not_zero	0.01496370668203778	0.00146484375	0	0
0	diagnostic-B2	11	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4492	5120	1.9248926639556885	0.02880352921783924	not_zero	0.01496370668203778	0.00146484375	0	0
0	diagnostic-B2	11	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4474	5120	39.08633804321289	0.6162185072898865	not_zero	0.01576557278424524	0.03125	0	0
0	diagnostic-B2	11	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4528	5120	38.738407135009766	0.5888929963111877	not_zero	0.015201786543747091	0.03125	0	0
0	diagnostic-B2	11	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4502	5120	17.100210189819336	0.24447081983089447	not_zero	0.014296363443324278	0.013671875	0	0
0	diagnostic-B2	11	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4502	5120	17.100210189819336	0.24447081983089447	not_zero	0.014296363443324278	0.013671875	0	0
0	diagnostic-B2	11	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4642	5120	13.7267427444458	0.2792924642562866	not_zero	0.0203465941961574	0.017578125	0	0
0	diagnostic-B2	12	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4642	5120	13.7267427444458	0.2792924642562866	not_zero	0.0203465941961574	0.017578125	0	0
0	diagnostic-B2	12	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4536	5120	39.854732513427734	0.598151683807373	not_zero	0.015008297536706478	0.03125	0	0
0	diagnostic-B2	12	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4641	5120	1.916431188583374	0.028771812096238136	not_zero	0.015013224720844926	0.00146484375	0	0
0	diagnostic-B2	12	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4641	5120	1.916431188583374	0.028771812096238136	not_zero	0.015013224720844926	0.00146484375	0	0
0	diagnostic-B2	12	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4556	5120	41.632877349853516	0.7854739427566528	not_zero	0.018866674435112436	0.0625	0	0
0	diagnostic-B2	12	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4602	5120	51.937034606933594	0.8242591619491577	not_zero	0.01587035471291846	0.046875	0	0
0	diagnostic-B2	12	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4497	5120	16.476173400878906	0.24404732882976532	not_zero	0.01481213646469312	0.01171875	0	0
0	diagnostic-B2	12	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4497	5120	16.476173400878906	0.24404732882976532	not_zero	0.01481213646469312	0.01171875	0	0
0	diagnostic-B2	12	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4677	5120	11.648482322692871	0.2557154595851898	not_zero	0.021952684693268613	0.013671875	0	0
0	diagnostic-B2	13	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4677	5120	11.648482322692871	0.2557154595851898	not_zero	0.021952684693268613	0.013671875	0	0
0	diagnostic-B2	13	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4508	5120	40.64252471923828	0.6026214361190796	not_zero	0.01482736223406482	0.03125	0	0
